apec1.kT apec1.Abundanc apec1.norm
1.558441506329664827e+00 2.423545428598258833e-01 1.517386955706497398e+00
1.379228581003136389e+00 8.991950043510026080e-02 2.068982309756591143e+00
1.583893301769887296e+00 1.139971076258935317e-01 1.771463834667711845e+00
1.377594103443001927e+00 7.034030684393080546e-02 2.439805942060832677e+00
1.138450710697417989e+00 1.198956413338028021e-01 1.820937641275153229e+00
1.864889028069134369e+00 5.390839622045633384e-01 1.224866262971404440e+00
1.698107796141452130e+00 6.518766165184886052e-02 1.940272981243532868e+00
1.505952277692503394e+00 9.294506584676591743e-01 7.624131378422769334e-01
1.551970653845935910e+00 1.178096580521039022e-01 1.807807623416459064e+00
1.183398092309526417e+00 5.383014376464531625e-02 1.894176691453037575e+00
1.663157840498138196e+00 2.403070658910880508e-01 1.862310734659328171e+00
1.326044314990073802e+00 8.348052868821050077e-02 2.140709279246642893e+00
1.645757241682950456e+00 6.972200032722914997e-01 1.062806975354303907e+00
1.106538045572861062e+00 4.169301937064325697e-02 2.534288444157175579e+00
1.609159428416930382e+00 4.718977568190586003e-01 1.257800628559864409e+00
1.111668203260089971e+00 2.760262857875573836e-02 2.707117239753701554e+00
1.498974916852705563e+00 3.048429470068561575e-01 1.382010154106023680e+00
1.148937101010617967e+00 5.907326040279553547e-02 2.092240064884794304e+00
1.450645890047641551e+00 4.158473912869178335e-01 1.147784228413158081e+00
1.293716867974907148e+00 1.082708350106554446e-01 2.048935982157426672e+00
1.255383766589315497e+00 4.665662567569651975e-02 2.343228223324354431e+00
1.402199318593686295e+00 1.609536933740521036e-01 2.014406959802907959e+00
1.405056869345568726e+00 8.403307109260127472e-02 2.927779374694135850e+00
1.503483292892191292e+00 7.090680079918780798e-01 1.038351414124308647e+00
1.299751975479455979e+00 5.861937502434635960e-02 2.241704806575363307e+00
1.372247238195136276e+00 1.531736157825708822e-01 1.763569397986587628e+00
9.757913166883900313e-01 9.527597691416575532e-03 3.254641149268626688e+00
1.197492592129902889e+00 5.544499234973458701e-02 2.308979742487361708e+00
1.275348635897840532e+00 3.714623994038442067e-02 2.164086518514600765e+00
1.892443753699363906e+00 3.777883108048228911e-01 1.548615615817620084e+00
1.360761371648684825e+00 1.453276483049900092e-01 1.963015644839462004e+00
1.848103667032432673e+00 1.994684971653882255e-01 1.749998323081771501e+00
1.319878732889684381e+00 7.154643050845012342e-02 1.989835986541182544e+00
1.363616195979848067e+00 1.086340317379964338e-01 1.930775199079699078e+00
1.289604769392062256e+00 2.232092629064729161e-01 1.672981809706491019e+00
1.629511823042016916e+00 3.167589661505115783e-01 1.352129283552366390e+00
1.796623470207884710e+00 3.185377489643873017e-01 1.329285264610178929e+00
1.370849230337401581e+00 6.979208789701990545e-02 2.074880674559760774e+00
9.800901332716027703e-01 1.859492580939538578e-02 3.281406098813381966e+00
1.471131828960574150e+00 2.155728901675474929e-01 1.406484601780639165e+00
1.115290402161029926e+00 3.539942223091946394e-02 2.564768573834364851e+00
1.619882262060395650e+00 1.021540602732193548e-01 1.880592973832392323e+00
1.348680250433971217e+00 6.247879222324646126e-02 2.090991522707433603e+00
1.598929516197372003e+00 7.572302898821781092e-02 2.239686576415720332e+00
1.222033634641779498e+00 3.771114598264065781e-02 2.829323215759508514e+00
2.015447534637428095e+00 6.265263744193162454e-01 1.277123186324878423e+00
1.455396085237964376e+00 4.129894906408009270e-01 1.250822121092054040e+00
1.702330812136724658e+00 7.176790774353575264e-01 1.083604642865542367e+00
1.256316621117593346e+00 4.069978308765820341e-03 2.248120734644952101e+00
1.856181617657951533e+00 5.985616238784197130e-01 1.064951194315149285e+00
1.147044075535273100e+00 1.619788183849139515e-02 3.124749421723893139e+00
1.953322841934459486e+00 1.056540447704827468e+00 8.821367685528281877e-01
1.075655949519665144e+00 1.824969104075396809e-02 2.408278586795734810e+00
1.531443861971565346e+00 1.520755979747646230e-02 2.497817344970867826e+00
1.562404776189718625e+00 2.608085466262494156e-01 1.571319898334845089e+00
1.234683262808192961e+00 1.052139253373410854e-01 2.024487190467629372e+00
1.144588888658588877e+00 2.171551154561565666e-01 1.508043159861616411e+00
1.592627641257103432e+00 1.742793310572473831e-01 1.997464524156975507e+00
1.336477233067617787e+00 1.403407357537127254e-02 2.559533236713949833e+00
1.733251291239354508e+00 5.072812669779527273e-01 1.376369492103508341e+00
2.097078543867080036e+00 9.851722335771462280e-01 1.007130359687515408e+00
1.524044200723180253e+00 4.552052071675197903e-02 2.226626975799626429e+00
1.138086464471228076e+00 1.919073309982508718e-02 2.753134784910187260e+00
1.824091718343141988e+00 1.652757200387603431e-01 1.611275827063122001e+00
1.080914812103680456e+00 1.763348863874639877e-02 2.938697636660045021e+00
1.372307408804526840e+00 8.359386909240776320e-02 1.799817318289351320e+00
1.426393418580424122e+00 1.590098102686667014e-01 2.123057021508586217e+00
1.689784621877159942e+00 2.468951516315474048e-01 1.683046978164437490e+00
1.896819319877858012e+00 6.591247712531194125e-01 1.187994342348623888e+00
1.412188086354977612e+00 1.006562383811540756e-01 1.856336937262251796e+00
1.637376428751172952e+00 2.400186513885396167e-01 1.511922856709584373e+00
1.693092091878437788e+00 5.010060347817060222e-01 1.438180880574478904e+00
1.571018185779761600e+00 2.015677881584472531e-01 1.738758165163617253e+00
1.675800623786874111e+00 2.215172890310568299e-01 1.582669596078055463e+00
1.455733694434667713e+00 3.630150194704502287e-01 1.363895150729194095e+00
1.340427157694780602e+00 1.270482134367484917e-01 1.888456269974879032e+00
1.628021887270217904e+00 3.476843761123440957e-01 1.339260886214617585e+00
1.407256472256178448e+00 4.157045241973456040e-01 1.432127042974891795e+00
1.379988531317694722e+00 6.212504929472971449e-02 2.398967797917312073e+00
1.639250645679612095e+00 1.371493336644310501e-01 1.614053222608317517e+00
2.060374440335967172e+00 1.176681584145464532e+00 8.896407452172694352e-01
1.139003323852409322e+00 2.167138766800781602e-02 2.760344075352166193e+00
