16:01:18 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs_basic/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:01:18 [ultranest] [INFO] Sampling 400 live points from prior ...
16:01:20 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=0
16:01:20 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:01:20 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
16:01:29 [ultranest] [DEBUG] iteration=1118, ncalls=2773, logz=-686.51, remainder_fraction=100.0000%, Lmin=-675.33, Lmax=-139.93
16:01:29 [ultranest] [DEBUG] iteration=1120, ncalls=2784, logz=-678.03, remainder_fraction=100.0000%, Lmin=-669.21, Lmax=-139.93
16:01:29 [ultranest] [DEBUG] iteration=1127, ncalls=2824, logz=-665.44, remainder_fraction=100.0000%, Lmin=-656.33, Lmax=-139.93
16:01:29 [ultranest] [DEBUG] iteration=1136, ncalls=2864, logz=-649.87, remainder_fraction=100.0000%, Lmin=-640.52, Lmax=-139.93
16:01:29 [ultranest] [DEBUG] iteration=1143, ncalls=2903, logz=-639.19, remainder_fraction=100.0000%, Lmin=-630.17, Lmax=-139.93
16:01:29 [ultranest] [DEBUG] iteration=1151, ncalls=2934, logz=-627.21, remainder_fraction=100.0000%, Lmin=-616.45, Lmax=-139.93
16:01:29 [ultranest] [DEBUG] iteration=1159, ncalls=2973, logz=-615.67, remainder_fraction=100.0000%, Lmin=-603.27, Lmax=-139.93
16:01:29 [ultranest] [DEBUG] iteration=1160, ncalls=2976, logz=-612.13, remainder_fraction=100.0000%, Lmin=-603.15, Lmax=-139.93
16:01:30 [ultranest] [DEBUG] iteration=1166, ncalls=3008, logz=-597.13, remainder_fraction=100.0000%, Lmin=-588.43, Lmax=-139.93
16:01:30 [ultranest] [DEBUG] iteration=1169, ncalls=3029, logz=-595.57, remainder_fraction=100.0000%, Lmin=-587.37, Lmax=-139.93
16:01:30 [ultranest] [DEBUG] iteration=1175, ncalls=3065, logz=-587.14, remainder_fraction=100.0000%, Lmin=-577.24, Lmax=-139.93
16:01:30 [ultranest] [DEBUG] iteration=1180, ncalls=3095, logz=-582.36, remainder_fraction=100.0000%, Lmin=-570.72, Lmax=-139.93
16:01:30 [ultranest] [DEBUG] iteration=1191, ncalls=3134, logz=-563.82, remainder_fraction=100.0000%, Lmin=-554.92, Lmax=-139.93
