apec1.kT apec1.Abundanc apec1.norm
3.914419586147356078e+00 1.999164739808347857e-01 1.398350606860468970e+00
4.015799735242668866e+00 2.011208491895997708e-01 8.757349402516672043e-01
4.140123395692764774e+00 3.316156615219738590e-01 7.527449653317989098e-01
3.916500867813124565e+00 1.489597885073214445e-01 1.206043320576565048e+00
4.140824238823025638e+00 2.873817241282550228e-01 1.170881195052218660e+00
4.230604210973742063e+00 2.698600488568431155e-01 8.140363807495689663e-01
4.217262610510329246e+00 2.035295452144619266e-01 6.720138245907525398e-01
3.956372005800393055e+00 2.155707794782175390e-01 1.194639185889543986e+00
4.022383009825441391e+00 2.950863821283231658e-01 8.357348373568289635e-01
4.010776568547662180e+00 2.264048127364215457e-01 1.567828234601394755e+00
4.228619346897611209e+00 2.700670728726240477e-01 8.657215738131445182e-01
4.640001623024600619e+00 1.659454413121320693e-01 1.192022280141889601e+00
4.274357337369148802e+00 3.088639359141671092e-01 7.088775620942391331e-01
3.856994967501643945e+00 2.303238781859160422e-01 6.484581678536102123e-01
3.990320412687426099e+00 2.175577308638182161e-01 1.113496083881885479e+00
4.104705852074592265e+00 2.383670908811927336e-01 6.178229531028484045e-01
3.999231843808396913e+00 2.380313533342438281e-01 7.596336361085318511e-01
3.852910875338686036e+00 2.804263054230727858e-01 8.588777031104355419e-01
4.071704108096854569e+00 1.898918807514236862e-01 7.807262200822473464e-01
4.140123395692764774e+00 3.316156615219738590e-01 7.527449653317989098e-01
4.129264784104941022e+00 2.680784053958911173e-01 9.398729820150573122e-01
4.081690963232703417e+00 2.132635328426013832e-01 3.305042824082861097e-01
4.263174973383607735e+00 2.566728762668755159e-01 1.384814153200251141e+00
4.417412894809622514e+00 2.883414868344026938e-01 8.782055289411612176e-01
4.049442065506268840e+00 1.910914880256690818e-01 7.621923202398919184e-01
4.068649487850510837e+00 1.877967319184216111e-01 1.846687481308739054e+00
4.231125586996335564e+00 2.094343796114847556e-01 8.394513541410308921e-01
3.636759807159718694e+00 2.738226863113466525e-01 1.012977579234734637e+00
4.035219055796607890e+00 2.491530562010284000e-01 1.960401508429889361e+00
3.824918536221658893e+00 2.653935183703391987e-01 9.676366353362891859e-01
3.893216209207024825e+00 2.708726928961012193e-01 1.353724752592101455e+00
3.778746820334193401e+00 2.823269580277087965e-01 1.259504711048526238e+00
4.020733048802456189e+00 2.584033428302581759e-01 1.286333856145894128e+00
4.040799123585954611e+00 2.032542503158858149e-01 7.915933963595184197e-01
4.318143353011707042e+00 1.663193581057934023e-01 9.918636822377339124e-01
3.990953050558093018e+00 2.902462846626908122e-01 8.642644393469847142e-01
4.339915915012165115e+00 2.187130767435010725e-01 1.461118295969034087e+00
4.174328493897339065e+00 2.071512210333645299e-01 1.438037136635595514e+00
4.105379635425192575e+00 2.237319995238198356e-01 1.036054557694003897e+00
4.113706078303099645e+00 2.286359910117342631e-01 1.121079461032182811e+00
4.082821890979599466e+00 1.258955512063660021e-01 1.217431160221891684e+00
3.941609401057471818e+00 2.314087884767419556e-01 1.329011990408772048e+00
4.083659834123838372e+00 2.542132707784457435e-01 1.021415973722112458e+00
4.252949246491764868e+00 1.868858094163730887e-01 3.591556613138180420e-01
4.126469070889012158e+00 1.973529957809348478e-01 8.325117337098333348e-01
3.928767573557872872e+00 2.291090273751549555e-01 1.243423311346729010e+00
4.116004914196366826e+00 2.755207478503544083e-01 1.204943197696350055e+00
3.900585356743935250e+00 1.676514574726021001e-01 9.192514587123470360e-01
4.305989037289525534e+00 2.512232827000954738e-01 1.151662563432967135e+00
3.867767132620558712e+00 2.731202329687187347e-01 8.417021575189508331e-01
4.352114418325971457e+00 2.846579487675686138e-01 1.419691249035790470e+00
3.978666033478614583e+00 1.978681352898194745e-01 3.816353234246289139e-01
3.810097318018968782e+00 1.943343364196053746e-01 7.955599975224161291e-01
3.874895574856582314e+00 2.244165596904807436e-01 1.710969520763823581e+00
3.981829651141599591e+00 2.119350210732898754e-01 1.048842902596443860e+00
3.724796929551053015e+00 1.678904612705193200e-01 1.472611732952120001e+00
4.202054757081250536e+00 2.095434850188220288e-01 1.287222624015461836e+00
3.958987788239876959e+00 3.108111694256215363e-01 1.108583930759498681e+00
3.756921211384674386e+00 1.435700333947032836e-01 1.420566286462073613e+00
3.907430888639122468e+00 2.797062031613113398e-01 8.598214718981895821e-01
3.959727624229009368e+00 2.532243647045727686e-01 6.754545571711609853e-01
4.054282452214750698e+00 2.552112997607852152e-01 8.640269217470453178e-01
4.020032338619379253e+00 2.671466783815371615e-01 8.889546948273882032e-01
4.106593871587381983e+00 2.737818144558628597e-01 9.629524110190306185e-01
4.183578220703032535e+00 1.954127845420893794e-01 1.231277894239657833e+00
4.003139081378067843e+00 2.625776122724501893e-01 8.289048893138274421e-01
4.198211893249845339e+00 2.444603170667144221e-01 8.798780632237773736e-01
